x,y,ground_truth
-13.814896,25.05807,Seminar
-0.4431186,0.7790958,Seminar
-5.4142504,-6.6780047,Seminar
-26.264833,22.789007,Other
14.476755,16.594006,Seminar
8.519808,-16.39482,Seminar
-13.563076,25.125904,Seminar
-14.614198,7.420943,Seminar
-19.476358,21.025679,Seminar
45.932316,-4.680643,Seminar
-28.80351,-2.7779949,Seminar
2.1170316,0.8869688,Seminar
-29.998653,26.314953,Seminar
-21.720617,-15.89063,Deliberation
0.7847266,14.960112,Deliberation
2.3797052,0.7743793,Deliberation
2.548355,20.094484,Deliberation
-8.536411,0.3013487,Social
-41.252647,3.0995574,Social
-25.492773,1.437281,Procedure
-26.791138,21.0338,Social
-18.29125,-8.642973,Procedure
-5.4423914,-6.631238,Procedure
0.073127955,-21.941446,Seminar
0.75909775,11.1930685,Seminar
12.857262,10.191881,Seminar
-26.854961,21.601658,Other
9.360355,7.6306114,Seminar
9.504102,7.687446,Seminar
-15.673255,27.584732,Seminar
-11.36576,26.6226,Seminar
-28.723831,23.86399,Other
2.4661,21.263271,Seminar
8.123779,13.256889,Imaginative entry
-27.418854,23.989384,Other
8.123779,13.256889,Imaginative entry
8.4812565,13.982806,Imaginative entry
5.246748,24.346563,Imaginative entry
10.264235,18.565706,Imaginative entry
5.36754,24.40574,Imaginative entry
-26.719778,-28.544615,Procedure
-23.046635,-24.228233,Procedure
-16.439068,26.724333,Procedure
-36.073673,-10.999982,Procedure
-26.889996,-7.210702,Procedure
-22.38506,-25.12619,Procedure
-29.209408,2.4520216,Procedure
-29.241243,2.4411943,Procedure
-26.768497,-28.49232,Procedure
-5.74421,20.670557,Seminar
-25.972702,-29.190691,Procedure
-9.058015,-6.398713,Procedure
-6.6472974,21.026447,Seminar
-1.0515484,16.144732,Seminar
-2.6024776,11.244621,Seminar
-8.565741,-12.059182,Social
-2.7850082,11.24481,Deliberation
-14.000733,15.025356,Social
-37.950817,8.497329,Social
-2.3847263,21.26674,Social
-30.514517,5.5392566,Seminar
-9.28126,-21.6386,UX
-16.195997,26.955462,UX
-38.190903,-12.068737,UX
-8.568942,23.392176,UX
-22.285477,23.699106,Other
-12.1747055,25.929905,Seminar
-30.046404,26.393854,Seminar
-1.9484041,5.0386543,Seminar
34.800316,11.176923,Seminar
-1.9313931,5.0290103,Seminar
-2.7637222,-13.901499,Seminar
-17.324366,-25.866869,Deliberation
-25.950224,-5.196923,UX
-21.200996,7.602061,Deliberation
-15.847982,12.339283,Deliberation
-4.3531303,-0.11357723,Seminar
2.5849173,21.893677,Deliberation
-25.295956,14.574998,Deliberation
-30.501976,-6.4459763,Deliberation
-24.622297,15.966377,"Social, Deliberation"
19.370872,0.41122296,Deliberation
-29.937876,-19.239712,Deliberation
11.3415,0.054218393,Seminar
-22.426975,-16.58474,Deliberation
-28.528957,-10.473487,Deliberation
-28.65771,-12.310334,Deliberation
-28.472864,-11.231186,Deliberation
-4.003523,-23.94654,Seminar
-18.849085,14.544656,Deliberation
-24.764141,-13.861404,Deliberation
-27.939575,-8.777869,Deliberation
-24.520056,-19.763832,UX
-21.979904,19.201221,UX
-9.310674,22.70826,Seminar
-11.868592,-26.285658,Deliberation
-25.199053,1.6803539,Deliberation
-10.971124,-28.616997,Seminar
-22.522562,14.721162,Deliberation
-27.120438,-15.8028965,Deliberation
-32.3738,-11.576863,UX
-14.646981,7.4763637,UX
-22.023062,11.287723,UX
-25.499226,0.7249186,Deliberation
-20.914217,-11.629023,Deliberation
-41.33506,5.7287006,Deliberation
-41.44315,7.3034487,Social
-41.36942,5.978679,Social
-21.671515,-6.458782,Deliberation
-20.728258,0.44563517,Procedure
-19.878824,2.6879857,Procedure
-23.729963,-4.49826,Procedure
-24.821093,-7.8289795,Procedure
37.10664,2.5804038,Seminar
-4.516275,-1.38386,Social
-24.986086,8.103238,Procedure
-11.844634,-2.737567,Procedure
-24.69167,-20.46398,Procedure
-18.591932,-21.011452,Deliberation
-9.931152,-1.876973,Procedure
-21.724276,-2.7624404,Procedure
-30.618057,12.5877495,Procedure
-31.652945,-2.2432554,Social
-7.1672053,21.313494,Seminar
-18.58164,24.154442,Imaginative
0.31953084,10.951796,Deliberation
-0.056836996,-23.643217,Deliberation
-11.8772,-26.31466,Deliberation
-11.709086,12.314703,Seminar
-7.697521,14.5352125,Seminar
-15.862191,11.110989,Seminar
-7.6520996,14.528371,Seminar
-0.017841043,-24.015789,Seminar
-12.088202,19.330317,Seminar
49.557125,-7.201853,Seminar
-24.41915,22.912811,Seminar
2.5376432,22.529873,Seminar
-38.311314,11.220666,Deliberation
-20.24217,1.5210344,Deliberation
-3.8273356,-1.4117453,Deliberation
0.12597254,-25.020084,Deliberation
-38.626232,9.032501,Social
-32.2879,5.5690184,Social
-12.993266,-14.510952,Seminar
0.12986355,0.5675571,Seminar
-42.579556,-2.5810916,Seminar
-27.418648,23.989614,Seminar
-24.529528,27.548214,Seminar
-24.529528,27.548214,Seminar
-24.254978,27.37431,Seminar
-28.736977,21.111713,Seminar
16.276464,23.620705,Seminar
-11.455815,-9.537635,Seminar
-32.344128,-12.221428,Social
-25.927452,25.240961,Social
-22.050398,-5.5784717,UX
-22.278393,-2.6116161,UX
-20.968344,-6.379366,UX
-14.434122,0.10033487,UX
-33.211437,2.133173,UX
-27.949926,-24.202631,UX
-23.213034,-8.1839,Seminar
-30.700579,-8.008299,UX
11.621874,25.860996,UX
-22.936636,-8.979067,UX
-21.162855,-11.675109,Social
-5.5166626,9.682887,Social
-37.694286,-8.790098,UX
-31.715092,-5.946952,UX
-34.286285,-13.888148,UX
-27.333055,-10.905688,UX
-34.069645,-13.498309,UX
-34.57884,-14.210589,UX
-31.65632,-5.63829,UX
-31.396221,-1.6604812,Social
-17.83349,20.1298,Social
-18.105206,15.977702,Seminar
-18.521837,15.084357,Seminar
-19.448479,-11.417511,Procedure
-35.786633,10.045687,Social
-10.521409,6.6503253,Social
-33.993702,4.557868,Social
-37.633617,5.4421887,UX
-29.121168,-2.5086627,Social
-34.214252,4.582687,Social
-17.983782,-9.910977,Social
-18.156143,-9.644494,Social
