x,y,ground_truth
-7.734526,-20.657263,Seminar
-7.9037223,10.845854,Seminar
-15.511951,-14.95621,Seminar
-26.00571,27.385857,Other
24.499582,-12.023915,Seminar
-6.7286105,-20.746805,Seminar
-11.0060625,-13.187713,Seminar
-6.0704308,-14.771857,Seminar
52.399582,9.472667,Seminar
-28.488174,4.7390633,Seminar
-10.122053,12.888879,Seminar
-9.785383,13.34539,Seminar
2.3947265,7.198904,Seminar
-24.87956,26.420444,Seminar
-20.024054,2.9061587,Deliberation
-15.72164,12.709491,Deliberation
-8.902858,13.274839,Deliberation
18.50578,12.6147375,Deliberation
-35.883644,6.4367948,Social
-23.13197,11.573006,Social
-16.55871,-13.598567,Procedure
-24.790712,21.408308,Social
-30.78033,3.8690243,Procedure
-15.872986,-14.498653,Procedure
-3.417658,-8.996092,Seminar
-3.2129035,11.702987,Seminar
19.278378,-19.655254,Seminar
-21.496841,23.422068,Other
13.545141,-15.094846,Seminar
-15.662402,23.115698,Seminar
47.32219,12.6535635,Seminar
-5.4772,-30.40034,Other
-15.955567,-31.925133,Other
-2.318965,-23.732248,Seminar
-22.722687,23.618784,Other
-3.101349,14.3611965,Seminar
-7.314789,10.928941,Seminar
30.803623,-21.512978,Imaginative entry
1.8739657,-13.108666,Imaginative entry
-30.484438,14.3028755,Procedure
-14.781404,23.048342,Procedure
-31.68648,-15.429788,Procedure
-21.946392,-12.968828,Procedure
-27.967922,12.267463,Procedure
-29.95582,17.788486,Procedure
-29.99339,17.79476,Procedure
-28.633587,13.619939,Procedure
0.85201097,-10.557891,Seminar
-31.39761,13.118935,Procedure
-24.104351,8.544759,Procedure
4.2603316,-21.55634,Seminar
1.0600864,-9.285364,Seminar
-20.880049,13.177131,Seminar
0.86369157,22.546803,Seminar
-14.421741,-31.399282,Social
-17.566526,9.260702,Social
0.82099456,22.65519,Deliberation
-17.970911,-23.563091,Social
-15.625782,-32.676662,Social
-18.152481,-22.723372,Social
-13.449674,-23.642927,Seminar
4.705627,-22.611113,Social
-9.809151,-25.497099,Social
4.873125,-22.983654,Social
-25.888731,-28.772377,Social
-7.1326356,-30.084026,Social
-33.59773,1.9808899,Seminar
-28.399029,-0.2966317,UX
-17.15765,-8.875194,UX
-29.860487,-6.23615,UX
-14.743399,23.03707,UX
-31.483528,-14.736707,UX
-15.600699,-27.752129,UX
0.40073615,-15.364344,UX
-37.92642,19.111454,Other
-5.0124197,-20.113392,Seminar
-24.786613,26.175379,Seminar
-4.1712813,13.836759,Seminar
-4.159466,14.071945,Seminar
0.83926094,6.225019,Seminar
-20.268955,10.795971,Deliberation
-34.167988,-11.917379,UX
-10.957054,-17.465519,Deliberation
-21.0296,14.081107,Deliberation
34.181572,9.808999,Seminar
-38.040924,18.288519,Seminar
-2.3584442,-23.71453,Deliberation
-17.517185,-27.45517,Deliberation
-25.74646,-9.428591,Deliberation
-12.873159,-18.672146,"Social, Deliberation"
21.133486,-25.13649,Deliberation
13.182161,15.861625,Deliberation
-25.591194,-15.357685,Deliberation
-15.942328,16.362326,Deliberation
-4.973576,15.199747,Seminar
-27.325754,-13.480159,Deliberation
-25.763367,-14.533594,Deliberation
-27.049755,-13.687013,Deliberation
-6.75787,3.4330838,Seminar
-11.505645,-7.621802,Deliberation
-13.030564,-6.9899316,Deliberation
-28.832952,-9.987855,Deliberation
-14.335437,1.0968502,UX
-6.394892,-30.430882,UX
-0.7334111,-17.183512,Seminar
-17.045835,14.319007,Deliberation
-16.737656,-12.875514,Deliberation
5.0651126,-14.218234,Seminar
-12.433221,-18.574953,Deliberation
-31.720125,-10.198142,UX
1.0786746,15.950127,UX
-11.031596,-13.243642,UX
-17.949604,-26.48029,UX
-15.469768,12.174118,Deliberation
-22.34147,-15.177887,Deliberation
-27.711578,-21.662214,Deliberation
-28.028973,-22.853943,Social
-38.698708,4.639321,Social
-27.82425,-22.097425,Social
-48.104588,7.1613398,Social
-23.92814,-8.278079,Deliberation
12.243273,21.131317,Seminar
-33.248035,10.09287,Procedure
-36.361744,-9.81853,Procedure
-37.984715,-9.180847,Procedure
-34.716846,-9.884754,Procedure
-37.477947,-4.135915,Procedure
-26.380096,-3.54962,Social
6.2441516,3.2114084,Seminar
-39.488266,13.03093,Social
-39.590324,3.4611382,Procedure
-7.135601,-19.702429,Procedure
-11.977257,-0.87378824,Deliberation
-6.4570503,-17.329678,Deliberation
-37.465736,9.40472,Procedure
-31.10797,5.7138157,Procedure
-30.651773,8.349598,Procedure
-39.36417,-1.9782275,Social
0.98942345,-8.900751,Seminar
-15.73433,-27.91782,Imaginative
-16.021036,6.115429,Deliberation
0.9999832,-14.357115,Deliberation
10.831865,21.60612,Deliberation
-5.565503,3.621901,Deliberation
-17.24773,14.30434,Deliberation
-12.926318,-22.290401,Seminar
-1.115966,-18.617115,Seminar
-0.8569845,-20.0872,Seminar
-1.0630755,-18.962109,Seminar
-5.340504,4.4633126,Seminar
-6.203422,-19.609138,Seminar
49.152897,-8.722652,Seminar
-8.136864,-18.067064,Seminar
-10.099793,-25.370338,Seminar
-0.4149379,5.778049,Seminar
-12.360411,-30.92431,Seminar
-12.7474375,-23.823011,Seminar
-23.5331,-25.693394,Social
-42.120026,-7.420133,Deliberation
-41.703075,-6.7527795,Deliberation
-13.449674,-23.642927,Deliberation
-22.938108,-25.711126,Deliberation
-38.534176,-9.172173,Deliberation
-13.634886,-31.519232,Social
-11.472653,15.557326,Deliberation
-11.292193,5.744044,Deliberation
-3.5771732,4.9572744,Deliberation
-24.579342,-25.89185,Social
2.4273577,-12.775871,Seminar
-1.8859577,-0.36737445,Seminar
-46.54192,-0.5074993,Social
1.576789,-13.468237,Seminar
-10.726261,14.852375,Seminar
-26.045057,26.405714,Seminar
-22.722687,23.618784,Seminar
-8.567097,-34.253826,Seminar
-8.567097,-34.253826,Seminar
-8.567097,-34.253826,Seminar
-27.456144,25.476248,Seminar
21.041428,-16.650156,Seminar
2.1595628,-1.0484859,Seminar
2.9330478,-1.8703034,Seminar
-36.957165,-9.603825,Social
-42.67469,12.62076,Social
-40.366165,-3.8978996,Social
-1.8430529,5.481307,Social
-33.72307,-8.599856,UX
-32.70159,-7.969448,UX
-41.48481,-6.0271053,Social
-22.79995,-8.42633,UX
-34.579315,13.316462,UX
-41.995262,7.595673,UX
-10.656062,-7.1919827,UX
-24.2371,-7.1534915,Seminar
-31.151236,-9.076709,UX
7.790895,2.6330523,UX
-32.213524,-13.353356,UX
-32.456566,-13.454784,UX
-22.5837,-14.289158,Social
-8.81757,25.376587,Social
-30.373276,-8.901749,UX
-29.633066,-5.7439985,UX
-27.934431,-9.839496,UX
-34.829052,-14.565802,UX
-22.702902,-13.692692,UX
-34.654297,-14.276917,UX
