x,y,ground_truth
37.166626,-5.196168,Seminar
42.269493,-9.626594,Seminar
24.753504,-18.257565,Seminar
43.43855,-6.7126565,Seminar
-30.429281,-2.3456988,Procedure
17.11599,1.2726349,Seminar
22.017782,-17.007961,Seminar
27.811428,-6.474944,Seminar
13.328822,-5.2957435,Seminar
29.249344,13.646546,Seminar
44.86322,12.298811,Seminar
42.30637,11.253142,Seminar
51.661804,4.417798,Seminar
49.00539,-2.8364487,Seminar
29.848675,21.504385,Seminar
33.64705,0.23330094,Seminar
36.15725,-4.4575367,Seminar
29.33425,-3.1547937,Seminar
30.88215,-3.975199,Seminar
49.16256,1.5882703,Seminar
40.449905,-1.358216,Seminar
39.04899,17.650303,Seminar
2.607118,7.3098197,Seminar
-13.197089,3.5667787,Deliberation
-19.099203,0.75306475,UX
-22.84122,8.995231,UX
-21.753336,9.707765,Deliberation
-30.429281,-2.3456988,Procedure
43.287037,-3.2276661,Seminar
22.907093,-17.257442,Seminar
24.035477,-17.77678,Seminar
13.613749,-15.166656,Seminar
17.826738,10.935188,Seminar
29.320398,0.35375527,Seminar
25.840874,-18.947332,Seminar
37.32271,23.132212,Seminar
45.8681,7.8320394,Seminar
36.328644,22.957802,Seminar
35.776173,22.977467,Seminar
16.885109,9.108896,Seminar
43.24421,-7.130685,Seminar
29.106365,-1.590875,Seminar
37.14784,-6.9151754,Seminar
30.0515,-13.535534,Seminar
33.9355,-20.73405,Imaginative entry
29.82178,-14.487911,Seminar
33.27218,-2.6478646,Seminar
40.99132,13.726471,Seminar
34.508648,16.088001,Seminar
42.78508,10.600036,Seminar
33.499844,21.731264,Seminar
43.414333,17.079021,Seminar
28.745564,-15.007772,Seminar
48.3109,10.709598,Seminar
30.019117,-13.923906,Seminar
24.311422,-13.8729725,Seminar
15.904096,-5.4592834,Seminar
33.471195,12.642438,Seminar
34.398785,15.1749,Seminar
33.9355,-20.73405,Imaginative entry
32.929337,-20.878908,Imaginative entry
27.4684,-22.183023,Imaginative entry
25.83099,-23.053051,Imaginative entry
25.119663,-23.82897,Imaginative entry
26.266134,-26.424295,Imaginative entry
31.400312,-14.915182,Imaginative entry
26.115105,-22.162842,Imaginative entry
26.05193,-25.99013,Imaginative entry
25.677553,-25.105797,Imaginative entry
15.305575,-2.2073777,Imaginative entry
31.02576,2.5285337,Seminar
-20.754553,6.673655,Procedure
0.53407526,17.771883,Deliberation
3.9856362,17.78104,Deliberation
35.246017,17.763788,Seminar
5.005504,16.411663,Seminar
0.7480812,17.426722,Seminar
4.2245283,17.837824,Seminar
35.776543,15.887163,Seminar
15.778563,-4.754535,Seminar
34.02993,-5.2402115,Seminar
-6.048867,4.9831815,Seminar
47.911903,6.028695,Seminar
14.904021,-4.8914404,Seminar
16.571882,-3.5263426,Seminar
50.820908,9.023604,Seminar
29.822271,21.670647,Seminar
17.705791,-4.069076,Seminar
4.8566146,15.401137,Seminar
-20.388346,8.837194,Deliberation
-19.15445,9.080392,Deliberation
18.120556,3.3106687,Seminar
-24.066383,-2.8545463,Seminar
-25.02834,3.375914,UX
20.075642,15.437936,Seminar
30.373108,2.3534164,Seminar
36.91065,-0.19286662,Seminar
15.303317,8.771735,Seminar
26.068647,-21.340601,Seminar
35.631413,-4.357548,Seminar
36.627743,-0.6834998,Seminar
12.344285,5.4564323,Seminar
30.390215,0.0015512202,Seminar
39.929432,2.765075,Seminar
30.26087,-2.9626014,Seminar
31.722332,-9.181629,Seminar
44.06417,8.764467,Seminar
23.23939,17.012905,Seminar
31.968603,15.989978,Seminar
15.506462,1.479602,Seminar
39.85628,1.0790608,Seminar
9.109425,2.2320032,Seminar
11.692878,-12.387365,Seminar
14.467746,9.355685,"Seminar, Deliberation"
30.24398,14.029358,Deliberation
-14.852569,4.6497774,Deliberation
-16.97817,5.183263,UX
-26.04462,-1.5363297,UX
21.431782,-2.0817654,Seminar
27.009518,17.439463,Seminar
33.761272,16.432186,Seminar
15.196604,-7.3971043,Seminar
22.334812,-1.8068,Seminar
22.374119,19.756193,Seminar
14.143202,2.5071251,Seminar
32.438408,-9.534391,Seminar
10.053391,1.7055614,Seminar
16.112953,2.105782,Seminar
45.59825,4.131921,Seminar
7.4885793,16.83111,"Seminar, Deliberation"
24.396944,12.078469,Seminar
49.880943,8.193894,Seminar
51.935226,-2.3282495,Seminar
-27.99466,-0.36264476,Deliberation
-14.0814705,-2.3626173,Deliberation
-10.500652,3.8827183,Deliberation
-19.125395,-0.14129019,Deliberation
-13.673702,-1.5294124,Deliberation
-16.17553,-1.992799,Deliberation
22.159018,-24.98424,Deliberation
17.838,0.18816449,"Deliberation, Seminar"
34.33213,23.860176,Seminar
-18.480392,-1.1278073,Deliberation
24.127922,-14.04567,Seminar
43.897224,9.248267,Seminar
-10.755417,3.6755064,Deliberation
-18.871332,-5.336529,Deliberation
31.63722,21.44109,Seminar
23.061691,-24.667324,Seminar
43.449448,17.02741,Seminar
-20.128374,-4.1471066,Deliberation
