x,y,ground_truth
-38.145855,7.8438735,Social
-17.957436,16.494133,Seminar
33.12316,-4.0469747,Seminar
-13.738735,13.189375,Seminar
16.290606,7.482818,Seminar
-25.887205,3.9416096,Seminar
10.447096,-1.1433744,Seminar
24.143501,13.830414,Seminar
-31.338285,-24.128635,Procedure
35.078457,-10.636495,Seminar
12.537812,-3.8039384,Seminar
19.226349,-5.0549154,Seminar
39.271477,-12.200781,Seminar
-24.256731,9.936128,Other
6.9222126,-0.07425865,Seminar
-2.2240837,-26.99411,Seminar
14.490303,-7.9352274,Seminar
30.259787,20.404366,Seminar
34.591652,11.005515,Seminar
-18.960571,15.972991,Seminar
14.281799,-0.43552896,Seminar
-19.299536,19.308517,Seminar
-24.142593,19.588276,Seminar
10.188108,13.278184,Seminar
19.134764,14.75992,Seminar
27.554726,13.133657,Seminar
-27.731146,-16.694183,Seminar
-15.959736,15.70316,Seminar
22.281147,-5.5702963,Seminar
22.475178,-6.6255994,Seminar
14.444261,1.1658269,Seminar
-0.66919386,21.22631,Seminar
33.198322,8.1443,Seminar
29.707506,-0.2118729,Seminar
9.576022,6.372806,Seminar
2.8088741,22.00129,Seminar
-23.471447,22.489521,Seminar
2.8830173,22.023775,Seminar
-27.850397,8.115391,Seminar
-10.807265,-18.563053,Deliberation
-20.06503,-19.242916,UX
-18.00134,4.1643887,Deliberation
-11.833688,15.867359,Deliberation
-0.6174367,21.244425,Deliberation
-15.034126,-24.826254,UX
-15.28585,-23.11587,Deliberation
-12.608844,-18.141764,Deliberation
-31.543613,8.134766,Social
-24.701946,-24.155434,Social
-22.499187,-10.3142395,Procedure
-29.468075,17.018692,Social
-31.338285,-24.128635,Procedure
-26.868383,-8.642882,Procedure
-15.351161,8.899184,Procedure
-10.0318985,-8.429321,Seminar
-11.401623,14.252407,Seminar
18.76081,8.677179,Seminar
25.392206,-13.231064,Seminar
12.303609,-1.2998514,Seminar
-30.007786,19.106476,Other
12.182957,-0.26004714,Seminar
1.3136638,-3.443431,Seminar
0.79058677,-3.1085253,Seminar
35.191513,-8.958541,Seminar
22.641788,-4.446991,Seminar
9.495269,-1.6828107,Seminar
9.255966,-10.209118,Seminar
37.474533,12.8682,Seminar
-22.622168,13.305035,Seminar
9.244611,-10.172886,Seminar
15.885569,3.5582635,Seminar
-17.106976,21.810734,Seminar
-34.611,14.957801,Other
42.02076,-2.073811,Seminar
27.554213,6.6881533,Seminar
20.245852,-5.4860435,Seminar
31.103296,2.0049167,Seminar
-37.762737,18.608139,Other
-14.652083,2.4515,Seminar
9.741853,-5.4600286,Seminar
1.5020763,12.071025,Imaginative entry
11.765099,-5.3886247,Seminar
9.013432,0.5707545,Seminar
28.174202,18.5554,Seminar
26.36682,20.170425,Seminar
-31.782713,19.882753,Other
32.47703,20.066093,Seminar
17.694723,17.543316,Seminar
9.698834,12.027363,Seminar
14.382503,-7.7648716,Seminar
22.765785,23.551483,Seminar
-6.2333,7.0095644,Seminar
11.593349,-6.1034365,Seminar
8.035398,-0.5286485,Seminar
44.77405,-9.848047,Seminar
22.756039,23.432898,Seminar
26.085495,19.153904,Seminar
14.696014,12.504199,Seminar
1.5020763,12.071025,Imaginative entry
1.6365068,11.339949,Imaginative entry
4.88454,6.3785963,Imaginative entry
4.9051647,5.8673263,Imaginative entry
5.225691,4.943014,Imaginative entry
-12.915141,3.1928072,Imaginative entry
-16.812727,13.689301,Imaginative entry
5.8058486,7.286273,Imaginative entry
4.2328534,5.6697927,Imaginative entry
4.517225,7.6171517,Imaginative entry
-13.845396,18.645538,Imaginative entry
-11.470774,3.3249934,Imaginative entry
7.169036,2.7222176,Imaginative entry
46.36184,-9.230021,Imaginative entry
-14.805357,13.988521,Imaginative entry
25.362473,2.3677514,Seminar
-23.262415,14.992028,Procedure
-16.487617,-22.880655,Procedure
-22.347471,12.228359,Procedure
-15.728119,6.220204,Procedure
-19.451103,12.756521,Procedure
-24.380962,-11.960786,Procedure
-45.455772,3.4711163,Procedure
-45.446404,3.4785485,Procedure
-32.80424,11.377304,Procedure
-18.845467,-10.759086,Procedure
-29.577705,8.812163,Social
-15.691614,2.7986066,Deliberation
-1.8924164,-23.808348,Deliberation
23.427397,19.101597,Seminar
-14.157313,10.421004,Seminar
-24.431772,-11.025871,Procedure
-2.785087,-21.515099,Seminar
14.702157,12.490171,Seminar
-18.59724,-4.590528,Procedure
-2.085401,-23.496128,Seminar
24.362803,18.2685,Seminar
43.91508,-9.977417,Seminar
-6.232895,6.967734,Seminar
10.540967,8.953359,Seminar
-11.0086775,-8.11787,Seminar
33.716145,9.910529,Seminar
43.338642,-7.1744833,Seminar
43.273495,-6.725122,Seminar
25.635822,15.372377,Seminar
-14.383062,9.27029,Seminar
-12.170634,14.866236,Seminar
19.209057,14.190661,Seminar
41.620716,-7.2530327,Seminar
-2.4831953,-22.1994,Seminar
-6.6520166,14.022134,Seminar
-23.398005,7.898998,Social
-31.48344,22.652924,Social
-11.884049,-23.820068,Deliberation
-6.5087194,14.11128,Deliberation
-11.682258,-23.773863,Deliberation
-29.585386,6.5012927,Social
-28.094248,7.7830544,Social
-31.107706,21.53203,Social
-29.538284,6.7679825,Social
38.664207,-2.8993113,Seminar
-27.42963,8.72693,Seminar
-27.448254,4.5763893,Seminar
-6.086636,6.42588,Social
-6.6176248,-12.053663,Social
-12.15571,-8.810008,Social
-34.85356,0.4659561,Social
-30.872746,2.5080347,Social
-33.82472,8.81331,Seminar
-30.623877,10.171003,Seminar
-29.465446,-25.872522,UX
-18.831621,5.2427897,UX
-19.413385,-25.077492,UX
-21.583117,12.480154,UX
-22.311,-12.532557,UX
-26.066774,13.8241825,UX
-27.228582,-31.163822,UX
-12.5161,10.487159,UX
-27.68626,17.97102,Other
21.212729,-10.305204,Seminar
24.187014,-4.836042,Seminar
30.262081,25.739891,Seminar
43.333767,-3.5807765,Seminar
10.755473,0.83634275,Seminar
-19.067465,15.966297,Seminar
20.618204,-3.5480323,Seminar
-23.411726,22.549503,Seminar
11.408318,-17.521296,Seminar
30.258287,25.709751,Seminar
43.739227,-14.297546,Seminar
25.124615,5.4039645,Seminar
11.443619,-17.497404,Seminar
-12.951593,-14.7569065,Seminar
-36.81843,11.124589,Social
25.025661,13.694455,Seminar
23.471088,-7.3716073,Seminar
12.970413,2.392454,Seminar
31.339024,18.732271,Seminar
31.80828,-11.313963,Seminar
38.225266,-1.9167752,Seminar
35.365166,-12.106133,Seminar
23.513065,11.180177,Seminar
40.42939,-10.732664,Seminar
-0.45077363,-2.8627985,Seminar
44.90073,-3.527997,"Seminar, Deliberation"
28.078638,15.385271,Deliberation
-10.442484,-20.316885,Deliberation
-14.862096,-21.733057,Deliberation
-18.718159,-23.848335,UX
-21.813372,-21.471762,UX
-31.444584,10.802166,UX
-26.899803,-25.836517,UX
-20.419035,4.7858095,Deliberation
-17.2112,11.245566,Deliberation
40.08235,-15.297498,Seminar
16.426338,2.0962534,Seminar
15.671126,-0.58235526,Seminar
25.983969,20.193562,Seminar
-16.370867,14.443893,Seminar
40.68079,-14.679456,Seminar
37.26729,-15.734752,Seminar
14.8236475,19.159332,Seminar
38.041317,-10.848485,Seminar
13.156519,2.5770874,Seminar
42.282753,-11.743334,Seminar
36.07692,-11.887151,Seminar
31.321938,15.011138,Seminar
-9.352669,26.964403,Seminar
26.544886,-2.63423,"Seminar, Deliberation"
26.469633,-2.5895784,Seminar
31.182959,17.405806,Seminar
14.627988,-1.8127656,Seminar
-28.85687,-29.238245,Deliberation
-18.292118,-29.94406,Deliberation
-9.598017,-18.889742,Deliberation
-19.040583,-23.073973,Deliberation
-13.849058,2.7582428,Deliberation
-21.526419,0.018961763,Deliberation
-14.697733,-12.577643,Deliberation
-32.666386,6.370085,"Social, Deliberation"
2.164192,2.181391,Deliberation
-16.181873,-28.040697,Deliberation
-5.28228,-13.13219,Deliberation
-18.570084,-20.555578,Deliberation
3.9025729,0.5762719,Deliberation
-20.708263,-31.124187,Deliberation
-15.039446,-28.901375,Deliberation
41.715435,-3.3099394,"Deliberation, Seminar"
-32.32784,13.717934,Deliberation
-0.68051654,-2.9695108,Seminar
-20.038473,-27.926022,Deliberation
31.387152,-6.4058537,Seminar
-22.524082,-1.7396098,Deliberation
-21.804737,-25.232857,Deliberation
-21.635954,-0.83183503,Deliberation
-14.885268,-30.177181,Seminar
8.713023,-0.3542927,Seminar
-13.208301,7.9250293,Deliberation
-13.731954,-28.310968,Deliberation
-23.200344,-1.980379,Deliberation
-32.555946,12.7100725,Deliberation
-17.410091,-24.52157,UX
-34.301945,14.204069,UX
31.058214,18.731218,Seminar
-20.298979,14.406386,Seminar
-10.086202,-20.390583,Deliberation
-21.12619,6.2703743,Deliberation
-25.184948,3.6056504,Deliberation
33.318867,14.203884,Seminar
-18.640535,6.1962876,Deliberation
-17.680792,-14.021944,Deliberation
16.853962,17.650526,Seminar
3.0702448,1.2789029,Seminar
9.666494,12.040284,Seminar
-18.756601,-28.87922,Deliberation
2.873832,1.5973691,Deliberation
-23.67376,-17.997416,UX
-19.118444,-28.435493,UX
3.1735158,-12.871658,UX
-28.377834,-26.353008,UX
-19.333221,19.24542,UX
-15.637861,7.304608,UX
-17.258352,-1.7345793,Deliberation
-31.338285,-24.128635,Deliberation
0.42099923,11.200929,Deliberation
-27.066875,-25.504889,Deliberation
-34.80721,4.55462,Deliberation
-28.873379,-30.679518,Deliberation
-33.839394,2.9092307,Social
-22.55355,-8.756087,Social
-34.640495,4.44773,Social
-37.77678,-4.03843,Social
-37.962303,0.20147301,Social
37.099693,-4.368979,Seminar
34.141563,-7.03206,Seminar
26.1601,14.125685,Seminar
34.648167,-6.343773,Seminar
-21.040962,-13.791144,Procedure
32.932755,-8.356911,Seminar
-18.739838,-11.676995,Deliberation
15.311034,-14.875011,Seminar
-20.961803,-15.10824,Procedure
-21.728424,-14.205277,Procedure
-28.197964,-12.558944,Procedure
-37.360397,2.3676124,Procedure
-39.627823,5.784411,Social
-39.66888,5.738254,Social
-5.52615,-22.999619,Procedure
-21.220848,-20.177963,Procedure
-21.725157,-16.154234,Procedure
-26.608492,0.7110476,Procedure
-23.066471,-19.015112,Procedure
-26.950363,-5.6666093,Procedure
-32.839973,-7.7584014,Social
-28.302832,-30.612335,"Social, Procedure"
-35.715046,-3.255112,Social
