x,y,ground_truth
-13.814896,25.05807,Seminar
-0.4431186,0.7790958,Seminar
14.476755,16.594006,Seminar
-13.563076,25.125904,Seminar
2.1170316,0.8869688,Seminar
3.880691,-0.14017309,Seminar
4.1383715,-0.31149602,Seminar
-19.277187,-16.295567,UX
-21.720617,-15.89063,Deliberation
2.3797052,0.7743793,Deliberation
-22.689299,-23.015043,UX
-18.29125,-8.642973,Procedure
0.073127955,-21.941446,Seminar
0.75909775,11.1930685,Seminar
-15.673255,27.584732,Seminar
-26.719778,-28.544615,Procedure
-23.046635,-24.228233,Procedure
-16.439068,26.724333,Procedure
-22.38506,-25.12619,Procedure
-26.768497,-28.49232,Procedure
-25.972702,-29.190691,Procedure
-9.058015,-6.398713,Procedure
-3.5456383,-23.30354,Seminar
-6.6472974,21.026447,Seminar
-24.701912,18.927052,Social
-13.480072,12.437729,Seminar
-16.195997,26.955462,UX
-18.1788,24.121103,UX
-39.854694,-14.287059,UX
-8.568942,23.392176,UX
-2.7637222,-13.901499,Seminar
-21.767668,-22.454409,UX
-21.200996,7.602061,Deliberation
-15.847982,12.339283,Deliberation
-28.762554,-20.478931,Deliberation
-19.561722,-16.214857,Deliberation
-24.622297,15.966377,"Social, Deliberation"
-27.562382,-22.307486,Deliberation
-22.26372,-19.79414,Deliberation
-29.937876,-19.239712,Deliberation
-29.513256,-19.83588,Deliberation
-22.426975,-16.58474,Deliberation
-4.003523,-23.94654,Seminar
-24.520056,-19.763832,UX
-9.310674,22.70826,Seminar
-22.522562,14.721162,Deliberation
-27.120438,-15.8028965,Deliberation
-27.218344,-17.331804,Deliberation
-26.32559,-17.204878,UX
-40.117897,-14.966925,Deliberation
-21.671515,-6.458782,Deliberation
27.330755,19.282166,Seminar
-20.728258,0.44563517,Procedure
-21.113504,-17.480835,Procedure
-20.153488,-20.51457,Procedure
-19.878824,2.6879857,Procedure
37.10664,2.5804038,Seminar
-20.472078,-19.594769,Procedure
-15.556966,23.297035,Procedure
-24.69167,-20.46398,Procedure
-18.591932,-21.011452,Deliberation
-16.546335,21.699646,Deliberation
-21.724276,-2.7624404,Procedure
-27.501581,-22.055418,Deliberation
-7.1672053,21.313494,Seminar
-18.58164,24.154442,Imaginative
-17.120398,-18.158628,Deliberation
-21.37634,-19.588371,Deliberation
-6.957463,24.223604,Deliberation
0.31953084,10.951796,Deliberation
-23.659523,-22.117983,Deliberation
-0.056836996,-23.643217,Deliberation
-15.862191,11.110989,Seminar
-0.017841043,-24.015789,Seminar
-16.995428,21.657545,Seminar
-17.691402,20.826088,Seminar
-14.288312,12.661516,Seminar
-40.05668,-15.9889345,Deliberation
-40.091656,-15.804569,Procedure
-13.480499,12.438768,Deliberation
-20.24217,1.5210344,Deliberation
-24.596283,17.832941,Social
-6.484789,24.48163,Seminar
0.12986355,0.5675571,Seminar
-19.930109,2.6682737,Social
-22.050398,-5.5784717,UX
-22.278393,-2.6116161,UX
-20.968344,-6.379366,UX
-14.434122,0.10033487,UX
-27.949926,-24.202631,UX
-23.213034,-8.1839,Seminar
-25.860819,-16.63306,UX
-22.936636,-8.979067,UX
-25.549137,-21.701159,UX
-27.020985,-21.07372,UX
-17.83349,20.1298,Social
-11.246672,-12.634167,Seminar
-19.448479,-11.417511,Procedure
-17.983782,-9.910977,Social
-9.658136,-13.250622,Seminar
-18.156143,-9.644494,Social
