x,y,ground_truth
-25.887205,3.9416096,Seminar
-27.731146,-16.694183,Seminar
-18.00134,4.1643887,Deliberation
-15.034126,-24.826254,UX
-12.608844,-18.141764,Deliberation
-24.701946,-24.155434,Social
-22.499187,-10.3142395,Procedure
-26.868383,-8.642882,Procedure
-15.351161,8.899184,Procedure
-6.2333,7.0095644,Seminar
-16.487617,-22.880655,Procedure
-15.728119,6.220204,Procedure
-24.380962,-11.960786,Procedure
-45.455772,3.4711163,Procedure
-45.446404,3.4785485,Procedure
-6.232895,6.967734,Seminar
-31.48344,22.652924,Social
-11.682258,-23.773863,Deliberation
-27.448254,4.5763893,Seminar
-6.086636,6.42588,Social
-6.6176248,-12.053663,Social
-30.872746,2.5080347,Social
-19.413385,-25.077492,UX
-22.311,-12.532557,UX
-27.228582,-31.163822,UX
40.42939,-10.732664,Seminar
-18.718159,-23.848335,UX
42.282753,-11.743334,Seminar
-28.85687,-29.238245,Deliberation
-18.292118,-29.94406,Deliberation
-19.040583,-23.073973,Deliberation
-16.181873,-28.040697,Deliberation
-18.570084,-20.555578,Deliberation
-20.708263,-31.124187,Deliberation
-15.039446,-28.901375,Deliberation
-20.038473,-27.926022,Deliberation
-22.524082,-1.7396098,Deliberation
-21.804737,-25.232857,Deliberation
-21.635954,-0.83183503,Deliberation
-23.200344,-1.980379,Deliberation
-25.184948,3.6056504,Deliberation
33.318867,14.203884,Seminar
-17.680792,-14.021944,Deliberation
-18.756601,-28.87922,Deliberation
-23.67376,-17.997416,UX
-19.118444,-28.435493,UX
-28.873379,-30.679518,Deliberation
-22.55355,-8.756087,Social
-21.040962,-13.791144,Procedure
32.932755,-8.356911,Seminar
15.311034,-14.875011,Seminar
-20.961803,-15.10824,Procedure
-28.197964,-12.558944,Procedure
-21.220848,-20.177963,Procedure
-21.725157,-16.154234,Procedure
-26.950363,-5.6666093,Procedure
-32.839973,-7.7584014,Social
-28.302832,-30.612335,"Social, Procedure"
-27.636517,-7.216182,Social
-28.16488,-12.581011,Procedure
-26.56141,-12.11322,Procedure
-19.699394,-20.079458,Procedure
-13.235474,-4.2662954,Procedure
-16.33915,-26.643171,Procedure
-13.119828,-4.2874436,Procedure
-15.3340845,-1.9027127,Procedure
-15.992789,-28.337582,Deliberation
-29.092945,-7.6570406,Social
-17.050142,-26.621058,Deliberation
-26.207676,17.40644,Seminar
-28.803951,3.962144,Seminar
-27.861712,22.470484,Seminar
-27.169508,5.263073,Seminar
-29.36746,-31.016726,Deliberation
-29.708614,-31.319204,Procedure
-17.62709,-7.8963256,Deliberation
-27.448254,4.5763893,Deliberation
-18.415674,1.0545751,Deliberation
-28.929638,-4.8408275,Social
30.798016,-3.5202703,Seminar
-25.329062,-14.32524,Social
-26.508993,-18.110672,UX
-22.661154,-14.228335,Procedure
-11.3526125,-3.5410256,Social
-13.325814,-8.222294,UX
-16.27768,-14.020848,Seminar
-20.798807,-28.182364,UX
-23.088135,16.991005,UX
-24.303415,-20.686153,UX
-25.659748,16.071959,Social
-17.461733,-27.966373,UX
-18.256556,-26.189976,UX
-21.871696,-4.586077,UX
-34.554474,-14.665761,UX
-21.1173,-1.6921264,UX
-16.714943,-29.503677,UX
-35.07995,-14.491187,UX
-35.64633,-14.288738,UX
-21.008648,-10.293748,UX
-29.313147,-7.242404,UX
-24.054224,16.206505,Seminar
-20.045815,-7.3921766,Procedure
-33.2993,-7.657656,Social
-30.77012,-4.2453136,UX
-27.817684,-16.588388,Social
-33.856133,-7.653083,Social
