x,y,ground_truth
-25.887205,3.9416096,Seminar
-31.338285,-24.128635,Procedure
-24.701946,-24.155434,Social
-31.338285,-24.128635,Procedure
-29.465446,-25.872522,UX
-27.228582,-31.163822,UX
-26.899803,-25.836517,UX
-28.85687,-29.238245,Deliberation
-18.570084,-20.555578,Deliberation
-25.184948,3.6056504,Deliberation
-28.377834,-26.353008,UX
-31.338285,-24.128635,Deliberation
-27.066875,-25.504889,Deliberation
-28.873379,-30.679518,Deliberation
-28.302832,-30.612335,"Social, Procedure"
-25.50572,-31.39031,Deliberation
-28.415195,-25.707294,Deliberation
-29.36746,-31.016726,Deliberation
-29.708614,-31.319204,Procedure
-29.675978,-23.581886,UX
-24.303415,-20.686153,UX
