Message,R2DiscussionType
Hello. ,Social
Submitted,Procedure
mor,Other
ima,Seminar
opportun,Seminar
"That sounds great, Meg! ",Social
👍,Social
SUBMITTED,Procedure
s,Other
Who knows? ,Seminar
uwgyeu,Other
"ha""",Other
w,Other
I'm not sure! ,Procedure
okay awesome! ,Procedure
Good idea!,Social
lol ,Social
That's fun,Social
:D,Social
Awww thank you so much!,Social
Finished! How does that sound?,Seminar
it's wonderful!,Seminar
Maybe! ,UX
darla,Other
experien,Seminar
"Hi John, ",Social
Great!,UX
"Karen Richardson,",Seminar
Yes I found this by luck...LOL!,Deliberation
Yay you got it!,"Social, Deliberation"
ok,Deliberation
ok!,Deliberation
ooooh,UX
Submitted,Deliberation
lol well ok then. Nice work team,Deliberation
Thank you team!  Nice collab!,Social
Nice work team,Social
have a great evening!,Social
Me too goodnight! Thanks guys!,Social
Good morning. I'm here.,Social
Good morning,Social
Good luck to you as well,Social
Yes. Thanks. Bye!,Social
Sounds good!,Social
"Hi Patricia Green and Michelle Rivera,",Social
"I am on,",Procedure
Definitely,Deliberation
"Ha ha, maybe!",Imaginative
"Yes, lets do that!",Deliberation
yes,Seminar
sentence*,Seminar
Good job!,Social
Yes!! Well done.,Deliberation
"yay, lol.",Social
thank you,Social
True!!,Seminar
acce,Seminar
w,Seminar
...,Seminar
...,Seminar
...,Seminar
att,Seminar
"Hello everyone, can you see this?",Social
Hello! I can!,Social
Hi Katie!,Social
*by,Social
"Hello, Natalie!",Social
Okay!,Social
"Oh, hi Rebecca!",Social
Okay Hi Rebecca and Katie,Social
head in hands,Social
No worries!,Social
ha ha,Social
Yep.,Social
Anyone else?,Seminar
Same.,Seminar
"Okay, cool",Social
"Thanks, everyone!",Social
Enjoy the wedding!,Social
"Thank you, I will!! :)",Social
Thank you! You too!,Social
anyways have a good night,Social
Enjoy the wedding Katie,Social
Goodnight!,Social
