Message,R2DiscussionType
of the author's word choice of barbarism.,Seminar
"The more I think about this activity, the more I wonder if we are supposed to be collaboratively writing an end to the story. ",Deliberation
Perhaps the top of this page (where we type and send messages) is for planning and the bottom (open white area) is for writing an end to the story? ,UX
"I could write the first draft based on my interpretation of our answers, then we could take turns editing - round robin style until we are happy with the result",Deliberation
What were your thoughts?,Deliberation
because while I agree with the first part said,Seminar
" I have to say, the line of thinking is still technically flawed.",Seminar
So how do you guys think we should end it?,Deliberation
"I'm honestly okay with either ending, ",Deliberation
I want to wait to see what they think about how the ending should go as well.,Seminar
"How do you think it should end, Emilie?",Seminar
I'm also okay with either ending for Part 1 as well. ,Seminar
"As for Part 2, I have a theory. ",Seminar
 I'm definitely okay with another approach that we can all agree on,Seminar
That's certainly an interesting way to look at the potential of that kind of ending.,Seminar
(I've been playing dnd too much and it has influenced my writing),Social
Or we could take turns writing out a paragraph and jump one it from the last person's response.,Deliberation
I like the idea of writing a paragraph or a few sentences and then bouncing off from there. ,Deliberation
That's some amazing writing! ,Social
"Part 1: Ultimately, it is left for the reader to decide what is behind the door,",Seminar
I hadn't thought of when I read the piece,Seminar
"Is the response we write in the field below supposed to be in the same style of the story, like we're completing it? Or are we just answering the questions?",Deliberation
I'm good with writing the majority choices.,Deliberation
The four questions,Deliberation
Do we answer these before continuing the story?,Deliberation
she was smiling by the end and the book told me i did well,Deliberation
The second question here is just as complex for different reasons,Seminar
It is wrong because they want the character to respond to each question one at a time.,UX
Should we write it as continuing the story or just as a normal response?,Deliberation
we should keep it simple,Deliberation
I'm not sure what you mean by the final question. Once I put in the 4 questions it let me finish reading the last two pages.,UX
and then it just seems to end,UX
I don't think I should have gone outside this platform to Google the book since this is supposed to be a discussion between us via this platform. Sorry about that.,Deliberation
"Cheryl Diaz, you bring up a good point - are we truly using the information gained through the reading or our own beliefs that human nature is fundamentally selfish. You really have me thinking about this.",Seminar
"Hi. I'm not sure if we were supposed to ultimately write an ending to the story or just answer the prompts collectively. I wrote an ending below, and you can change it or replace it. We just want to test the use of the space at the same time, I think.",Procedure
