Message,R2DiscussionType
of the author's word choice of barbarism.,Seminar
"The more I think about this activity, the more I wonder if we are supposed to be collaboratively writing an end to the story. ",Deliberation
Perhaps the top of this page (where we type and send messages) is for planning and the bottom (open white area) is for writing an end to the story? ,UX
I'm overall a little confused by this entire module ,Deliberation
"I could write the first draft based on my interpretation of our answers, then we could take turns editing - round robin style until we are happy with the result",Deliberation
We can try to get in touch with them and decide how we wat to write out the answer,Procedure
I couldn't either.,Procedure
I'm also okay with either ending for Part 1 as well. ,Seminar
"As for Part 2, I have a theory. ",Seminar
(I've been playing dnd too much and it has influenced my writing),Social
Or we could take turns writing out a paragraph and jump one it from the last person's response.,Deliberation
I like the idea of writing a paragraph or a few sentences and then bouncing off from there. ,Deliberation
"Kyra, I LOVE what you did for part 1!! ",Social
That's some amazing writing! ,Social
Let's hope I do as well on part 2!!,Social
Any idea on how to submit it?,UX
I think we just leave it here? I'm not totally sure,UX
Yeah I was wondering because when I click 'My Answer' at the top it says I haven't submitted one. ,UX
Or when the survey comes out maybe something will be there,UX
I hadn't thought of when I read the piece,Seminar
"Is the response we write in the field below supposed to be in the same style of the story, like we're completing it? Or are we just answering the questions?",Deliberation
I'm good with writing the majority choices.,Deliberation
"Unfortunately I can't click in the box below at all, so it's anyone's guess what style our response is supposed to be in. I would imagine answering the questions simply would be fine.",UX
Looks good. I think to mark our assignment done we just have to write SUBMITTED at the top of the entry.,UX
Wait how do we submit this assignment?,Deliberation
The four questions,Deliberation
Do we answer these before continuing the story?,Deliberation
"So the top is for chatting and the bottom is for responding, I believe.",Deliberation
"Ok, I had to reset the book to make this work!",Deliberation
"Yep, so what you think the questions are?",Deliberation
she was smiling by the end and the book told me i did well,Deliberation
Which questions? like the prompt?,Deliberation
But it asked for 4 so i amswered with 4,Deliberation
"At the top of the screen are two questions, I believe that is what the 1 & 2 are on the bottom portion",Deliberation
I tried the ones you mentioned it said try again.,Deliberation
You have to do them one at a time,Deliberation
I tried them all at once and it told me wrong lol,Deliberation
The second question here is just as complex for different reasons,Seminar
me too. It said wrong!,Deliberation
