Message,R2DiscussionType
My assumption is,Seminar
I agree with Cassandra's noticing ,Seminar
I loved the addition of ,Seminar
mor,Other
"I would imagine,",Seminar
"However, I also do not",Seminar
ima,Seminar
I agree with Ashely ,Seminar
I also agree with Ashley,Seminar
opportun,Seminar
 I like this idea!,Seminar
and am open to other thoughts/suggestions.,Deliberation
"I think you are correct, Ashley. ",Deliberation
Thanks for taking the lead on the first draft,Social
👍,Social
but I figured I might as well add to this,Procedure
because while I agree with the first part said,Seminar
s,Other
Who knows? ,Seminar
What would happen then?,Seminar
uwgyeu,Other
"ha""",Other
What do you guys think? ,Seminar
w,Other
"Kyra, those are some good thoughts! ",Seminar
Emilie I can see that. ,Seminar
I agree.,Imaginative entry
And that's true! ,Imaginative entry
I agree with that so much! ,Imaginative entry
Do we know how many people are part of this group? ,Procedure
I'm not sure! ,Procedure
"I tried looking for a ""particpants"" button or something and I couldn't find one.",Procedure
Good idea!,Social
That's just my opinion though.,Seminar
"Of course, we should all definitely have a chance to contribute.",Procedure
I liked what you mentioned earlier Kyra,Seminar
But that's just what I was thinking.,Seminar
 I'm definitely okay with another approach that we can all agree on,Seminar
And I almost think if we can't decide we might just flip a coin ,Seminar
lol ,Social
"Flipping a coin may not be the worst idea, honestly! ",Deliberation
That's fun,Social
Glad you like that idea ,Social
:D,Social
I think it would be fun too!,Social
That's a creative idea!,Seminar
 I like it,Seminar
Ahhh I love your response too!,Social
So I don't know. ,UX
Maybe sometime next week there will be a button to push.,UX
Maybe! ,UX
Yeah that makes sense.,UX
darla,Other
I would hope though,Seminar
experien,Seminar
"^Gina, that is a really interesting point that you make, ",Seminar
"That's a really insightful point, Gina!",Seminar
Are we ready for that?,Deliberation
"Yeah, I'm good with it.",Deliberation
I agree,Seminar
"Karen Richardson,",Seminar
Yes so what do you think guys?,Deliberation
Yes I found this by luck...LOL!,Deliberation
We need total four answers to the question,Deliberation
"That is a good point, Victoria",Seminar
ooooh,UX
that sounds reasonable,Seminar
we should keep it simple,Deliberation
Any additions?,Deliberation
keeping one's orbs in line is essential,Seminar
i think weve got it,Deliberation
and then it just seems to end,UX
i do not,UX
I was looking for that,UX
Also feel free to add anything to them if you would like.,Deliberation
What did you have to do?,Deliberation
lol well ok then. Nice work team,Deliberation
Nice work team,Social
"Ha, I meant successor.",Seminar
I think so.,Procedure
Definitely,Deliberation
That's exactly what I think as well.,Seminar
does this mean we are barbaric too?,Imaginative
"Ha ha, maybe!",Imaginative
"Yes, that's true as well",Deliberation
"Yes, I'd rather keep it simple lol",Deliberation
"I like the ""doom""",Seminar
is that too much?,Seminar
No I think it is good.,Seminar
I don't think it is too much.,Seminar
Probably yes,Seminar
Good idea.,Seminar
yes,Seminar
I like it! Good sentemce.,Seminar
sentence*,Seminar
"There, lol. what do you girls think?",Seminar
I like it...,Seminar
I like it,Deliberation
Yes!! Well done.,Deliberation
I can see it clearly.,Deliberation
"yay, lol.",Social
"I agree, Linda Long. If you are okay with that, Michelle Rivera?",Deliberation
True!!,Seminar
I totally agree.,Seminar
"I agree, ",Seminar
That's true -,Seminar
"I agree with Anne Marie and Rachel, ",Seminar
acce,Seminar
w,Seminar
...,Seminar
...,Seminar
...,Seminar
att,Seminar
I completely agree with you,Seminar
*by,Social
So did I. Do you think they are in another course?,UX
Hint I _____him?,UX
head in hands,Social
ha ha,Social
"Well said, Rebecca",Seminar
Good point you made Rebecca,Seminar
Yep.,Social
Anyone else?,Seminar
Same.,Seminar
