Message,R2DiscussionType
of the author's word choice of barbarism.,Seminar
"Her lover would die and never love another."" ",Seminar
"Either way she must love without him, but is she open-hearted enough to allow for him to love another?",Seminar
"It doesn't appear so. For instance, she discloses great agony, jealousy, and stress about the potential wedding between her lover and the lady behind the door;",Seminar
"more upset with the prospect of him belonging to another, and so it is clear,",Seminar
she would send him to his death.,Seminar
"given that it is stressed he is semi-barbaric, he would choose not to send his daughter, whom he loves so dearly, to her potential death.",Seminar
imagine this to be the catalyst that ends his idea of public punishment. ,Seminar
The story also leads me to think that she is accustomed to having her every wish granted by her father and that she never learned the benefits of compassion.,Seminar
"If the secret was shared with the community, I also think that it would be her informant that would be punished.",Seminar
I had not considered Ashley's idea that this experience might be an ,Seminar
Love does have a way of changing how we think and make valuable decisions like this one,Seminar
"While Jealousy is a strong determinate, Love is often stronger, and it would make sense to allow her lover to live out of love just as much as it would make",Seminar
make sense to allow her lover to live out of love just as much as it would make sense for her to have him killed. ,Seminar
Basing a decision on her lineage is not exactly a strong source in my opinion.,Seminar
"However, basing a decision on her own thought process, that I can get behind",Seminar
had great grief over her lover in another’s arms.,Seminar
"As for the second part, only her lover saw her give the signal so the second part is questionable as it would be based on hearsay. ",Seminar
"Without someone seeing her give the signal, they really cannot accuse her of helping him",Seminar
"Not to mention that if she had not helped him at all, and he opened the door with the female, would she still be under scrutiny?",Seminar
" In the story  it is mentioned several times that the princess is jealous of the idea of her lover being with another woman  stating ""her soul had burned in agony when he rushed to meet that woman"" (pp. 10).",Seminar
This action seems indicitive of her barbaric and jealous nature because this way she remains the conquerer  and if she cannot,Seminar
Do you think that she kills him or saves him?,Seminar
What would you do in her place?,Imaginative entry
"I kind of think that even though she is angry and jealous, she would ultimately save him. ",Seminar
I think that overall the weight of her conscious would have kept her from sending him to his death for falling in love with her.,Seminar
Perhaps he planned it so that she would be the one to make the decision in the end as no one has ever known what's behind the doors before,Seminar
Maybe this was her punishment.,Seminar
"Knowing she could save him from death, but still lose him in the end.",Seminar
I'm kind of on the fence about whether she saves him or not.,Seminar
 I think that she may dislike the idea that he marries another more than him dying.,Seminar
Emilie I can see that. ,Seminar
What would you do in her place?,Imaginative entry
"Not what do you think she would do, but what would you do if you were in the situation? ",Imaginative entry
I know I wouldn't be able to live with myself if I knew I was the reason the person I loved was killed in such a painful manner,Imaginative entry
 It would hurt worse to know his death was my fault than to know that he was happy with someone else. ,Imaginative entry
I think I'd find it easier to move on and live if he was still alive.,Imaginative entry
" Personally, I would save him. ",Imaginative entry
"I'd rather be sad for a little while that the person I loved married someone else, than let them get killed. ",Imaginative entry
I would feel guilty for the rest of my life.,Imaginative entry
I'm sure I would eventually get over him being with someone else,Imaginative entry
"How do you think it should end, Emilie?",Seminar
about how she may have felt guilty.,Seminar
He sentences her to the same trial.,Seminar
 The abyss of pain and betrayal of an unfaithful lover and seeing them with someone else is palpable and I could imagine that in the throngs of that deep pain one might wish their unfaithful lover to be dead.,Seminar
