Pseudonym,Message,R1 Discussion type,R2 Discussion Type,R1 Dialogic spell,R2 Dialogic Spell,R1 Uptake,R2 Uptake,R1 Question,R2 Question,R1 Pivot,R2 Pivot,Memo
pim-01,Hello. ,,Social,,1,,,,,,,
pim-01,My assumption is,,Seminar,,1,,,,,,Social to Seminar,
pim-01,that the emphasis on barbarism implies that she sent him to the lion.,,Seminar,,1,,,,,,,
pim-03,I agree with Cassandra's noticing ,,Seminar,,1,,Affirm,,,,,
pim-03,of the author's word choice of barbarism.,,Seminar,,1,,,,,,,
pim-02,I loved the addition of ,,Seminar,,1,,,,,,,
pim-02,"Her lover would die and never love another."" ",,Seminar,,1,,,,,,,
pim-02," Sadly  the barbaric nature of the king and princess is still alive today in crimes of passion.""",,Seminar,,1,,,,,,Seminar to Procedure,
pim-03,Submitted,,Procedure,,,,,,,,Procedure to Seminar,
pim-06,"If the princess possesses the same semi-barbaric trait as her father, then it would seem she directed her lover to the door with the tiger. ",,Seminar,,1,,,,,,,
pim-06,"Either way she must love without him, but is she open-hearted enough to allow for him to love another?",,Seminar,,1,,,,C-HOT,,,
pim-06,"It doesn't appear so. For instance, she discloses great agony, jealousy, and stress about the potential wedding between her lover and the lady behind the door;",,Seminar,,1,,,,,,,
pim-06,"however, she only comments that a tiger would bring shrieks and blood. From her revealed thoughts, she is ",,Seminar,,1,,,,,,,
pim-06,mor,,,,1,,,,,,,
pim-06,"more upset with the prospect of him belonging to another, and so it is clear,",,Seminar,,1,,,,,,,
pim-06,"given the two terrible choices,",,Seminar,,1,,,,,,,
pim-06,she would send him to his death.,,Seminar,,1,,,,,,,
pim-06,If the King were to discover that his daughter broke the law by secretly sending her lover towards the door on the right,,Seminar,,1,,,,,,,
pim-06,he would have to send his daughter to the arena for a judgement. ,,Seminar,,1,,,,,,,
pim-06,"I would imagine,",,Seminar,,1,,,,,,,
pim-06,"given that it is stressed he is semi-barbaric, he would choose not to send his daughter, whom he loves so dearly, to her potential death.",,Seminar,,1,,,,,,,
pim-06,"However, I also do not",,Seminar,,1,,,,,,,
pim-06,ima,,Seminar,,1,,,,,,,
pim-06,imagine this to be the catalyst that ends his idea of public punishment. ,,Seminar,,1,,,,,,,
pim-06,"Perhaps, instead of sending his daughter to the arena, he would send the person who gave her the information about the two doors instead.",,Seminar,,1,,,,,,,
pim-06, It could be argued that the informant is more guilty than the princess and is sent to show the kingdom the consequence of such behaviors.,,Seminar,,1,,,,,,,
pim-06,"(Sorry it came out as three separate messages! For some reason, it wouldn't post my full response at once.)",,Seminar,,1,,,,,,,
pim-04,I agree with Ashely ,,Seminar,,1,,Affirm,,,,,
pim-04, that the Princess's barbaric traits will lead the princess to send her lover to his death.,,Seminar,,1,,,,,,,
pim-04,"She exhibits immaturity and cruelty by fixating on imagined flirtations between ""the lady"" and the princess's lover.",,Seminar,,1,,,,,,,
pim-04,The story also leads me to think that she is accustomed to having her every wish granted by her father and that she never learned the benefits of compassion.,,Seminar,,1,,,,,,,
pim-04,I also agree with Ashley,,Seminar,,1,,Affirm,,,,,
pim-04,that the king's adoration of his daughter would stop him from sending his daughter into the arena.,,Seminar,,1,,,,,,,
pim-04,"I had orgininally thought that the king would either keep her secret out of love for his daughter, or out of barbaric pride that she sent her lover to his grizzly death, or a combination of the two. ",,Seminar,,1,,,,,,,
pim-04,"If the secret was shared with the community, I also think that it would be her informant that would be punished.",,Seminar,,1,,,,,,,
pim-04,I had not considered Ashley's idea that this experience might be an ,,Seminar,,1,,,,,,,
pim-04,opportun,,Seminar,,1,,,,,,,
pim-04,I had not considered Ashley's idea that this experience might be an opportunity for the king to re-examine the practice.,,Seminar,,1,,,,,,,
pim-04, I like this idea!,,Seminar,,1,,Affirm,,,,,
pim-06,"The more I think about this activity, the more I wonder if we are supposed to be collaboratively writing an end to the story. ",,Deliberation,,2,,,,,,Seminar to Deliberation,
pim-06,Perhaps the top of this page (where we type and send messages) is for planning and the bottom (open white area) is for writing an end to the story? ,,Deliberation,,2,,,,C-LOT,,,
pim-06,I'm overall a little confused by this entire module ,,Deliberation,,2,,,,,,,
pim-06,and am open to other thoughts/suggestions.,,Deliberation,,2,,,,,,,
pim-04,"I think you are correct, Ashley. ",,Deliberation,,2,,,,,,,
pim-04,"I thought we could all answer the questions in the messaging area (like you & I did), then we can take turns drafting a group response",,Deliberation,,2,,,,,,,
pim-04,"I could write the first draft based on my interpretation of our answers, then we could take turns editing - round robin style until we are happy with the result",,Deliberation,,2,,,,,,,
pim-04,What were your thoughts?,,Deliberation,,2,,,,O-HOT,,,
pim-06,"That sounds great, Meg! ",,Social,,2,,,,,,Deliberation to Social,
pim-06,Thanks for taking the lead on the first draft,,Social,,2,,,,,,,
pim-06,I’ll check in soon and add to it ,,Procedure,,2,,,,,,Social to Procedure,
pim-06,👍,,Social,,2,,,,,,,
pim-04,SUBMITTED,,Procedure,,,,,,,,,
pim-05,I am late to the discussion ,,Procedure,,,,,,,,,
pim-05,but I figured I might as well add to this,,Procedure,,,,,,,,,
pim-05,because while I agree with the first part said,,Seminar,,,,,,,,Procedure to Seminar,
pim-05," I have to say, the line of thinking is still technically flawed.",,Seminar,,,,,,,,,
